dateid,date,Year,Quarter,QuarterName,Month,Monthname,Day,Weekday,WeekdayName
188,2019-09-12,2019,3,Q3,9,September,12,5,Friday
189,2019-09-13,2019,3,Q3,9,September,13,6,Saturday
190,2019-09-14,2019,3,Q3,9,September,14,7,Sunday
191,2019-09-15,2019,3,Q3,9,September,15,1,Monday
192,2019-09-16,2019,3,Q3,9,September,16,2,Tuesday
193,2019-09-17,2019,3,Q3,9,September,17,3,Wednesday
194,2019-09-18,2019,3,Q3,9,September,18,4,Thursday
195,2019-09-19,2019,3,Q3,9,September,19,5,Friday
196,2019-09-20,2019,3,Q3,9,September,20,6,Saturday
197,2019-09-21,2019,3,Q3,9,September,21,7,Sunday
198,2019-09-22,2019,3,Q3,9,September,22,1,Monday
199,2019-09-23,2019,3,Q3,9,September,23,2,Tuesday
200,2019-09-24,2019,3,Q3,9,September,24,3,Wednesday
201,2019-09-25,2019,3,Q3,9,September,25,4,Thursday
202,2019-09-26,2019,3,Q3,9,September,26,5,Friday
203,2019-09-27,2019,3,Q3,9,September,27,6,Saturday
204,2019-09-28,2019,3,Q3,9,September,28,7,Sunday
205,2019-09-29,2019,3,Q3,9,September,29,1,Monday
206,2019-09-30,2019,3,Q3,9,September,30,2,Tuesday
207,2019-10-01,2019,4,Q4,10,October,1,3,Wednesday
208,2019-10-02,2019,4,Q4,10,October,2,4,Thursday
209,2019-10-03,2019,4,Q4,10,October,3,5,Friday
210,2019-10-04,2019,4,Q4,10,October,4,6,Saturday
211,2019-10-05,2019,4,Q4,10,October,5,7,Sunday
212,2019-10-06,2019,4,Q4,10,October,6,1,Monday
213,2019-10-07,2019,4,Q4,10,October,7,2,Tuesday
214,2019-10-08,2019,4,Q4,10,October,8,3,Wednesday
215,2019-10-09,2019,4,Q4,10,October,9,4,Thursday
216,2019-10-10,2019,4,Q4,10,October,10,5,Friday
217,2019-10-11,2019,4,Q4,10,October,11,6,Saturday
218,2019-10-12,2019,4,Q4,10,October,12,7,Sunday
219,2019-10-13,2019,4,Q4,10,October,13,1,Monday
220,2019-10-14,2019,4,Q4,10,October,14,2,Tuesday
221,2019-10-15,2019,4,Q4,10,October,15,3,Wednesday
222,2019-10-16,2019,4,Q4,10,October,16,4,Thursday
223,2019-10-17,2019,4,Q4,10,October,17,5,Friday
224,2019-10-18,2019,4,Q4,10,October,18,6,Saturday
225,2019-10-19,2019,4,Q4,10,October,19,7,Sunday
226,2019-10-20,2019,4,Q4,10,October,20,1,Monday
227,2019-10-21,2019,4,Q4,10,October,21,2,Tuesday
228,2019-10-22,2019,4,Q4,10,October,22,3,Wednesday
229,2019-10-23,2019,4,Q4,10,October,23,4,Thursday
230,2019-10-24,2019,4,Q4,10,October,24,5,Friday
231,2019-10-25,2019,4,Q4,10,October,25,6,Saturday
232,2019-10-26,2019,4,Q4,10,October,26,7,Sunday
233,2019-10-27,2019,4,Q4,10,October,27,1,Monday
234,2019-10-28,2019,4,Q4,10,October,28,2,Tuesday
235,2019-10-29,2019,4,Q4,10,October,29,3,Wednesday
236,2019-10-30,2019,4,Q4,10,October,30,4,Thursday
237,2019-10-31,2019,4,Q4,10,October,31,5,Friday
238,2019-11-01,2019,4,Q4,11,November,1,6,Saturday
239,2019-11-02,2019,4,Q4,11,November,2,7,Sunday
240,2019-11-03,2019,4,Q4,11,November,3,1,Monday
241,2019-11-04,2019,4,Q4,11,November,4,2,Tuesday
242,2019-11-05,2019,4,Q4,11,November,5,3,Wednesday
243,2019-11-06,2019,4,Q4,11,November,6,4,Thursday
244,2019-11-07,2019,4,Q4,11,November,7,5,Friday
245,2019-11-08,2019,4,Q4,11,November,8,6,Saturday
246,2019-11-09,2019,4,Q4,11,November,9,7,Sunday
247,2019-11-10,2019,4,Q4,11,November,10,1,Monday
248,2019-11-11,2019,4,Q4,11,November,11,2,Tuesday
249,2019-11-12,2019,4,Q4,11,November,12,3,Wednesday
250,2019-11-13,2019,4,Q4,11,November,13,4,Thursday
251,2019-11-14,2019,4,Q4,11,November,14,5,Friday
252,2019-11-15,2019,4,Q4,11,November,15,6,Saturday
253,2019-11-16,2019,4,Q4,11,November,16,7,Sunday
254,2019-11-17,2019,4,Q4,11,November,17,1,Monday
255,2019-11-18,2019,4,Q4,11,November,18,2,Tuesday
256,2019-11-19,2019,4,Q4,11,November,19,3,Wednesday
257,2019-11-20,2019,4,Q4,11,November,20,4,Thursday
258,2019-11-21,2019,4,Q4,11,November,21,5,Friday
259,2019-11-22,2019,4,Q4,11,November,22,6,Saturday
260,2019-11-23,2019,4,Q4,11,November,23,7,Sunday
261,2019-11-24,2019,4,Q4,11,November,24,1,Monday
262,2019-11-25,2019,4,Q4,11,November,25,2,Tuesday
263,2019-11-26,2019,4,Q4,11,November,26,3,Wednesday
264,2019-11-27,2019,4,Q4,11,November,27,4,Thursday
265,2019-11-28,2019,4,Q4,11,November,28,5,Friday
266,2019-11-29,2019,4,Q4,11,November,29,6,Saturday
267,2019-11-30,2019,4,Q4,11,November,30,7,Sunday
268,2019-12-01,2019,4,Q4,12,December,1,1,Monday
269,2019-12-02,2019,4,Q4,12,December,2,2,Tuesday
270,2019-12-03,2019,4,Q4,12,December,3,3,Wednesday
271,2019-12-04,2019,4,Q4,12,December,4,4,Thursday
272,2019-12-05,2019,4,Q4,12,December,5,5,Friday
273,2019-12-06,2019,4,Q4,12,December,6,6,Saturday
274,2019-12-07,2019,4,Q4,12,December,7,7,Sunday
275,2019-12-08,2019,4,Q4,12,December,8,1,Monday
276,2019-12-09,2019,4,Q4,12,December,9,2,Tuesday
277,2019-12-10,2019,4,Q4,12,December,10,3,Wednesday
278,2019-12-11,2019,4,Q4,12,December,11,4,Thursday
279,2019-12-12,2019,4,Q4,12,December,12,5,Friday
280,2019-12-13,2019,4,Q4,12,December,13,6,Saturday
281,2019-12-14,2019,4,Q4,12,December,14,7,Sunday
282,2019-12-15,2019,4,Q4,12,December,15,1,Monday
283,2019-12-16,2019,4,Q4,12,December,16,2,Tuesday
284,2019-12-17,2019,4,Q4,12,December,17,3,Wednesday
285,2019-12-18,2019,4,Q4,12,December,18,4,Thursday
286,2019-12-19,2019,4,Q4,12,December,19,5,Friday
287,2019-12-20,2019,4,Q4,12,December,20,6,Saturday
288,2019-12-21,2019,4,Q4,12,December,21,7,Sunday
289,2019-12-22,2019,4,Q4,12,December,22,1,Monday
290,2019-12-23,2019,4,Q4,12,December,23,2,Tuesday
291,2019-12-24,2019,4,Q4,12,December,24,3,Wednesday
292,2019-12-25,2019,4,Q4,12,December,25,4,Thursday
293,2019-12-26,2019,4,Q4,12,December,26,5,Friday
294,2019-12-27,2019,4,Q4,12,December,27,6,Saturday
295,2019-12-28,2019,4,Q4,12,December,28,7,Sunday
296,2019-12-29,2019,4,Q4,12,December,29,1,Monday
297,2019-12-30,2019,4,Q4,12,December,30,2,Tuesday
298,2019-12-31,2019,4,Q4,12,December,31,3,Wednesday
299,2020-01-01,2020,1,Q1,1,January,1,4,Thursday
300,2020-01-02,2020,1,Q1,1,January,2,5,Friday
301,2020-01-03,2020,1,Q1,1,January,3,6,Saturday
302,2020-01-04,2020,1,Q1,1,January,4,7,Sunday
303,2020-01-05,2020,1,Q1,1,January,5,1,Monday
304,2020-01-06,2020,1,Q1,1,January,6,2,Tuesday
305,2020-01-07,2020,1,Q1,1,January,7,3,Wednesday
306,2020-01-08,2020,1,Q1,1,January,8,4,Thursday
307,2020-01-09,2020,1,Q1,1,January,9,5,Friday
308,2020-01-10,2020,1,Q1,1,January,10,6,Saturday
309,2020-01-11,2020,1,Q1,1,January,11,7,Sunday
310,2020-01-12,2020,1,Q1,1,January,12,1,Monday
311,2020-01-13,2020,1,Q1,1,January,13,2,Tuesday
312,2020-01-14,2020,1,Q1,1,January,14,3,Wednesday
313,2020-01-15,2020,1,Q1,1,January,15,4,Thursday
314,2020-01-16,2020,1,Q1,1,January,16,5,Friday
315,2020-01-17,2020,1,Q1,1,January,17,6,Saturday
316,2020-01-18,2020,1,Q1,1,January,18,7,Sunday
317,2020-01-19,2020,1,Q1,1,January,19,1,Monday
318,2020-01-20,2020,1,Q1,1,January,20,2,Tuesday
319,2020-01-21,2020,1,Q1,1,January,21,3,Wednesday
320,2020-01-22,2020,1,Q1,1,January,22,4,Thursday
321,2020-01-23,2020,1,Q1,1,January,23,5,Friday
322,2020-01-24,2020,1,Q1,1,January,24,6,Saturday
323,2020-01-25,2020,1,Q1,1,January,25,7,Sunday
324,2020-01-26,2020,1,Q1,1,January,26,1,Monday
325,2020-01-27,2020,1,Q1,1,January,27,2,Tuesday
326,2020-01-28,2020,1,Q1,1,January,28,3,Wednesday
327,2020-01-29,2020,1,Q1,1,January,29,4,Thursday
328,2020-01-30,2020,1,Q1,1,January,30,5,Friday
329,2020-01-31,2020,1,Q1,1,January,31,6,Saturday
330,2020-02-01,2020,1,Q1,2,February,1,7,Sunday
331,2020-02-02,2020,1,Q1,2,February,2,1,Monday
332,2020-02-03,2020,1,Q1,2,February,3,2,Tuesday
333,2020-02-04,2020,1,Q1,2,February,4,3,Wednesday
334,2020-02-05,2020,1,Q1,2,February,5,4,Thursday
335,2020-02-06,2020,1,Q1,2,February,6,5,Friday
336,2020-02-07,2020,1,Q1,2,February,7,6,Saturday
337,2020-02-08,2020,1,Q1,2,February,8,7,Sunday
338,2020-02-09,2020,1,Q1,2,February,9,1,Monday
339,2020-02-10,2020,1,Q1,2,February,10,2,Tuesday
340,2020-02-11,2020,1,Q1,2,February,11,3,Wednesday
341,2020-02-12,2020,1,Q1,2,February,12,4,Thursday
342,2020-02-13,2020,1,Q1,2,February,13,5,Friday
343,2020-02-14,2020,1,Q1,2,February,14,6,Saturday
344,2020-02-15,2020,1,Q1,2,February,15,7,Sunday
345,2020-02-16,2020,1,Q1,2,February,16,1,Monday
346,2020-02-17,2020,1,Q1,2,February,17,2,Tuesday
347,2020-02-18,2020,1,Q1,2,February,18,3,Wednesday
348,2020-02-19,2020,1,Q1,2,February,19,4,Thursday
349,2020-02-20,2020,1,Q1,2,February,20,5,Friday
350,2020-02-21,2020,1,Q1,2,February,21,6,Saturday
