id,name,city,state,lon,lat
73,The Retreat Hospital,DOWNTOWN RICHMOND,VA,-77.473038,37.554314
74,United States Public Health Service Hospital,DOWNTOWN NORFOLK,VA,-76.302727,36.901539
75,Vinton Family Medical Center,ROANOKE,VA,-79.869476,37.279026
76,Walter Reed Convalescent Center,ARK,VA,-76.543282,37.42181
77,Westminster Hospital,DOWNTOWN RICHMOND,VA,-77.458595,37.597923
78,Winslow Hospital,GATEWOOD,NC,-79.399467,36.569027
79,Woodrow Wilson Rehabilitation Center,STAUNTON,VA,-78.991692,38.117912
80,Kerbs Hospital,NORTH FAIRFAX,VT,-73.0718,44.807545
81,Caldwell Health Center,DES MOINES,WA,-122.32235,47.390102
82,Dayton General Hospital,DAYTON,WA,-117.969933,46.312084
83,General Hospital of Everett,EVERETT,WA,-122.207352,47.999538
84,Klickitat Valley Hospital,GOLDENDALE,WA,-120.810898,45.820126
85,Mason General Hospital,SHELTON,WA,-123.114326,47.225647
86,Overlake Memorial Hospital,BELLEVUE,WA,-122.187347,47.620102
87,Riverton General Hospital,BURIEN,WA,-122.296234,47.48732
88,Saint Josephs Hospital,CHEWELAH,WA,-117.710793,48.277958
89,Stevens Memorial Hospital,LAKE FOREST PARK,WA,-122.334572,47.80315
90,Western Washington State Hospital,FIRCREST,WA,-122.566238,47.180099
91,Bellin Memorial Hospital,ALLOUEZ,WI,-88.011215,44.502213
92,Bloomer Community Hospital,BLOOMER,WI,-91.501831,45.101902
93,Central State Hospital,WAUPUN,WI,-88.737045,43.624157
94,Divine Savior Hospital,PORTAGE,WI,-89.47818,43.540543
95,Dunn County Health Care Center,MENOMONIE,WI,-91.887398,44.88718
96,Fond du Lac County Hospital,NORTH FOND DU LAC,WI,-88.476219,43.756378
97,Grantsburg Clinic,BRANSTAD,MN,-92.687988,45.774956
98,Hickory Grove Sanatorium,WRIGHTSTOWN,WI,-88.12149,44.391384
99,Janesville Medical Center,JANESVILLE,WI,-88.974548,42.698902
100,Lakeland Hospital,COMO,WI,-88.493431,42.663074
101,Lutheran Hospital,FRENCH ISLAND,MN,-91.246529,43.794407
102,Marinette County Hospital,HARMONY,WI,-87.731499,45.055813
103,Memorial Hospital,MENOMONIE,WI,-91.914612,44.872463
104,Mendota State Hospital,MAPLE BLUFF,WI,-89.40123,43.132217
105,Milwaukee Hospital,SHOREWOOD,WI,-87.940643,43.042793
106,New Berlin Memorial Hospital,ELM GROVE,WI,-88.085655,42.987514
107,Oconto County Hospital,OCONTO,WI,-87.863991,44.88443
108,Reedsburg Area Medical Center,REEDSBURG,WI,-89.993454,43.550541
109,River Falls Area Hospital,RIVER FALLS,WI,-92.622421,44.863857
110,Rock County Health Care Center,JANESVILLE,WI,-89.027893,42.725838
111,Saint Agnes Hospital,NORTH FOND DU LAC,WI,-88.430107,43.77832
112,Saint Elizabeth Hospital,APPLETON,WI,-88.403717,44.248596
113,Saint Joseph Hospital,ASHLAND,WI,-90.880753,46.593552
114,Saint Josephs Hospital,SUPERIOR,MN,-92.125191,46.7155
115,Saint Marys Hospital,BROKAW,WI,-89.620125,44.979691
116,Saint Marys Hospital,SUPERIOR,MN,-92.091019,46.725769
117,Saint Vincent Hospital,ALLOUEZ,WI,-88.012329,44.500824
118,Springwater Nursing Home,WILD ROSE,WI,-89.239006,44.184418
119,Tomah Care Center,TOMAH,WI,-90.515411,43.972744
120,Vernon Memorial Hospital,LIBERTY POLE,WI,-90.888458,43.551365
121,Wausau Hospital Center,BROKAW,WI,-89.6679,44.965801
122,Adena Hills Behaviorial Health Center,GLEN DALE,OH,-80.72287,39.911747
123,Bluefield Sanitarium (historical),CLEAR FORK,WV,-81.222321,37.267899
124,Camden Clark Memorial Hospital,BLENNERHASSETT,OH,-81.559845,39.269516
125,Conley Hospital,TERRA ALTA,MD,-79.519768,39.439266
126,Family Care Outpatient Clinic,HUNTINGTON,OH,-82.427658,38.420914
127,Greenbrier Valley Hospital (historical),RONCEVERTE,WV,-80.468964,37.748734
128,Hillcrest Sanitarium,CHARLESTON,WV,-81.599564,38.337879
129,Jones Hospital,TERRA ALTA,MD,-79.518105,39.439266
130,Man Appalachian Regional Hospital,MALLORY,WV,-81.874557,37.731499
131,Memorial Hospital,CHARLESTON,WV,-81.60318,38.330101
132,Mountain View Regional Rehabilitation Hospital,GRANVILLE,PA,-79.962845,39.657021
133,Pinecrest Sanitarium,BEAVER,WV,-81.165382,37.783726
134,Princeton Hospital (historical),KEGLEY,WV,-81.097321,37.369839
135,Riverpark Hospital,HUNTINGTON,OH,-82.436821,38.419525
136,Saint Lukes Hospital,CLEAR FORK,WV,-81.219254,37.25845
137,Southern Hills Regional Rehabilitation Hospital,ATHENS,WV,-81.059532,37.363728
138,Summersville Memorial Hospital,SUMMERSVILLE,WV,-80.829254,38.292332
139,Weirton General Hospital,WEIRTON,PA,-80.600075,40.445068
140,Weston State Hospital,JACKSON MILL,WV,-80.471489,39.038425
141,Adult Foster Care Hospital,TORRINGTON,WY,-104.18161,42.064964
142,Case Golden Age Care Hospital,RANCHESTER,MT,-107.163414,44.908859
143,Crook County Nursing Home,SUNDANCE,WY,-104.375786,44.406376
144,Irvine Home Trust,WHEATLAND,WY,-104.952744,42.054409
145,Meadowlark Maison Hospital,WHEATLAND,WY,-104.952744,42.054409
146,Mondell Heights Odd Fellow/Rebekah Retirement Home,DOWNTOWN NEWCASTLE,WY,-104.204933,43.854698
147,Our House Hospital,CODY,WY,-109.056526,44.526344
148,Platte County Memorial Nursing Home,WHEATLAND,WY,-104.952744,42.054409
149,Riverton Memorial Hospital,RIVERTON,WY,-108.380096,43.02496
150,South Lincoln Medical Center,DIAMONDVILLE,WY,-110.537666,41.792446
151,West Park Hospital,CODY,WY,-109.056526,44.526344
152,Adare Medical Center,COCOA,FL,-80.722282,28.335562
153,Baptist Hospital,BRENT,FL,-87.231079,30.429087
154,Bayonet Point/Hudson Regional Medical,BAYONET POINT,FL,-82.699821,28.365004
155,Brewster Hospital,ARLINGTON,FL,-81.662872,30.344683
156,Campellton-Graceville Hospital,BROWNTOWN,AL,-85.498543,30.963516
157,Central Florida Hospital,CLARCONA,FL,-81.485069,28.572224
158,Charter Springs Hospital,OCALA,FL,-82.122871,29.151644
159,Community Hospital of New Port Richey,PORT RICHEY,FL,-82.718994,28.255011
160,De Poo Hospital,KEY WEST,,-81.796486,24.557648
161,Doctors Hospital of Lake Worth,GREENACRES CITY,FL,-80.072266,26.628679
162,East Pointe Hospital,PAGE FIELD AIRPORT,FL,-81.834808,26.652849
163,Fair Oaks Hospital at Boca/Delray,BOYNTON BEACH,FL,-80.067543,26.473129
164,Flagler Memorial Hospital,ANASTASIA,FL,-81.307014,29.882191
165,Florida Sanitarium,ALOMA,FL,-81.369797,28.575556
166,Gateway Plaze Hospital,ARLINGTON,FL,-81.638985,30.345516
167,Gulf Coast Community Hospital,CEDAR GROVE,FL,-85.700768,30.191036
168,Hamilton County Memorial Hospital,JASPER,GA,-82.959579,30.521885
169,Hialeah Hospital,HIALEAH,FL,-80.268661,25.845373
170,Holmes County Hospital,LYNN HAVEN,FL,-85.676872,30.28492
171,Humana Hospital Cypress,COCONUT CREEK,FL,-80.141708,26.227028
172,Humana Hospital Orange Park,BELLAIR,FL,-81.712318,30.165796
173,Humana Womens Hospital Tampa,DAVIS ISLANDS,FL,-82.49176,27.980297
174,Jay Hospital,PINE LEVEL,AL,-87.147469,30.954071
175,Kissimmee Memorial Hospital,BUENA VENTURA LAKE,FL,-81.404518,28.297232
176,Lake Seminole Hospital,NORTH REDINGTON BEACH,FL,-82.785103,27.860302
177,Larkin General Hospital,CORAL GABLES,FL,-80.295883,25.707323
178,Lisenby Hospital,BAY HARBOR,FL,-85.681877,30.168259
179,Mariners Hospital,FLAMINGO,FL,-80.513672,25.014574
180,Memorial Hospital,DANIA BEACH,FL,-80.180328,26.019257
181,Mercy Hospital,CORAL GABLES,FL,-80.216164,25.740099
182,Miami General Hospital,LIBERTY CITY,FL,-80.192551,25.766766
183,Mound Park Hospital,PINELLAS POINT,FL,-82.642326,27.763361
184,Nassau General Hospital,FERNANDINA BEACH,GA,-81.451485,30.670794
185,North Gables Hospital,CORAL GABLES,FL,-80.255882,25.763988
186,Northeast Florida State Hospital,GLEN SAINT MARY,FL,-82.135391,30.235514
187,Orlando General Hospital,ALOMA,FL,-81.325905,28.539448
188,Palm Springs General Hospital,DORAL,FL,-80.311714,25.867874
189,Pinellas County Hospital,BELLEAIR SHORES,FL,-82.788712,27.894188
190,Putnam Community Hospital,PALATKA,FL,-81.683418,29.641634
191,Saint Anthony Hospital,PINELLAS POINT,FL,-82.650101,27.778639
192,Saint Johns River Hospital,PONTE VEDRA BEACH,FL,-81.397865,30.287464
193,Saint Marys Hospital,PALM BEACH,FL,-80.064209,26.756174
194,Shands Teaching Hospital and Clinic,GAINESVILLE,FL,-82.343437,29.639969
195,South Florida State Hospital,COOPER CITY,FL,-80.252823,25.997313
196,Southeastern Medical Center,AVENTURA,FL,-80.179771,25.925371
197,Sunland Training Center,GAINESVILLE,FL,-82.293991,29.669134
198,Tampa General Hospital,SOUTH TAMPA,FL,-82.458984,27.938354
199,University Community Hospital,CORAL SPRINGS,FL,-80.254219,26.212305
200,University of Miami Hospital and Clinics,CORAL GABLES,FL,-80.28894,25.751766
201,Washington County Hospital,CHIPLEY,FL,-85.542709,30.765192
202,West Lake Hospital,ALTAMONTE SPRINGS,FL,-81.350349,28.710831
203,Winter Park Memorial Hospital,ALOMA,FL,-81.326736,28.598057
204,Hilo Hospital,HILO,HI,-155.115021,19.71863
205,Queens Hospital,ALA MOANA BEACH PARK,HI,-157.854187,21.307665
206,Hospital Sagrado Corazon,SAN JUAN,,-66.054611,18.441332
207,United States Naval Hospital Annex,AGANA HEIGHTS,,144.70639,13.47222
208,Arab Hospital,ARAB,AL,-86.496384,34.313427
209,Baptist Medical Center Montclair,BIRMINGHAM,AL,-86.748886,33.517323
210,Black Belt Community Health Center,GAINESVILLE,AL,-88.167244,32.774303
211,Brookwood Medical Clinic,BROOKWOOD,AL,-87.313606,33.260674
212,CED Mental Health Center,FORT PAYNE,AL,-85.712753,34.455647
213,Chambers County Hospital,LAFAYETTE,AL,-85.409119,32.884014
214,Choctaw County Hospital,BUTLER,AL,-88.203911,32.089035
215,Columbia General Hospital,ANDALUSIA,AL,-86.502739,31.313499
216,Crestwood Hospital,HUNTSVILLE,AL,-86.631104,34.717033
217,DeKalb County Health Clinic,FORT PAYNE,AL,-85.726639,34.438148
218,Doctor D E Jackson Memorial Hospital,MINOR HILL,TN,-87.153625,34.990364
219,El Reposo Sanatorium,IRON CITY,TN,-87.57502,34.963974
220,Evergreen Hospital,BROWNVILLE,AL,-86.947189,31.421837
221,Geneva County Hospital,EUNOLA,AL,-85.892998,31.04879
222,Greenville Confederate Hospital (historical),GREENVILLE,AL,-86.631088,31.831543
223,Haven Hospital,DOTHAN,AL,-85.461044,31.247393
224,Holy Name of Jesus Hospital,GADSDEN,AL,-86.003578,34.004818
225,Huntsville Hospital,HUNTSVILLE,AL,-86.580551,34.720371
226,Jackson Hospital,CARSON,AL,-87.894997,31.530993
227,Lakeview Community Hospital,EUFAULA,AL,-85.156044,31.888491
228,Lyster Army Hospital,CAIRNS AAF,AL,-85.724106,31.327112
229,McMillan Memorial Hospital,BREWTON,AL,-87.073303,31.127117
230,Mobile Mental Health Center,COCHRANE BRIDGE,AL,-88.098061,30.70575
231,Noland Hospital,BRIGHTON,AL,-86.907494,33.486778
232,Parkway Medical Center Hospital,DECATUR,AL,-87.015839,34.576763
233,Piedmont Hospital,PIEDMONT,AL,-85.619965,33.91954
234,Randolph County Hospital,ROANOKE,AL,-85.388557,33.157898
235,Saint Clair Nursing Home,MOODY,AL,-86.413597,33.577602
236,Searcy State Hospital,CALVERT,AL,-88.029167,31.088507
237,South Baldwin Hospital,FOLEY,AL,-87.684425,30.425756
238,Sparks Center,BIRMINGHAM,AL,-86.803055,33.504547
239,Tri-Counties Tuberculosis Sanatorium,SCOTTSBORO,AL,-86.064148,34.673695
240,University Hospital,BIRMINGHAM,AL,-86.80249,33.505669
241,Walker County Health Clinic,JASPER,AL,-87.280571,33.836216
242,Washington County Hospital,CHATOM,AL,-88.235565,31.459335
243,Winfield Carraway Hospital,GU-WIN,AL,-87.824463,33.930103
244,Arkansas State Hospital,CAMMACK VILLAGE,AR,-92.322929,34.749531
245,Baptist Memorial Hospital,CALDWELL,AR,-90.772331,35.039261
246,Bridgeway Hospital,CAMMACK VILLAGE,AR,-92.354874,34.822033
247,Chester Hospital,HOPE,AR,-93.588509,33.660118
248,Conway Regional Hospital,CONWAY,AR,-92.457657,35.085644
249,Cross County Hospital,WYNNE,AR,-90.786224,35.219807
250,Doctors Hospital,BLYTHEVILLE,MO,-89.91925,35.930634
251,Estelle Hospital (historical),HEBER SPRINGS,AR,-92.03598,35.491749
252,Grays Hospital,BATESVILLE,AR,-91.650421,35.772297
253,Howard County Memorial Hospital,NASHVILLE,AR,-93.857124,33.952335
254,Lee County Memorial Hospital,MARIANNA,AR,-90.774834,34.775654
255,McGehee-Desha County Hospital,MCGEHEE,AR,-91.392342,33.618439
256,Nevada County Hospital,PRESCOTT,AR,-93.377396,33.811779
257,Ouachita County Hospital,CAMDEN,AR,-92.83683,33.575943
258,Randolph County Medical Center,ATTICA,AR,-90.997063,36.289783
259,Saint Bernards Regional Medical Center,JONESBORO,AR,-90.702057,35.835907
260,Saint Michael Hospital of Texarkana,TEXARKANA,TX,-94.041023,33.425957
261,Siloam Springs Memorial Hospital,WEST SILOAM SPRING,OK,-94.540504,36.181469
262,Tuberculosis Sanitorium,MILL CREEK,AR,-94.347717,35.364262
263,Van Buren Memorial Hospital,FORT SMITH,AR,-94.34021,35.435368
264,White River Medical Center,BATESVILLE,AR,-91.634575,35.767857
265,Arizona State Hospital,AVONDALE,AZ,-112.025986,33.453938
266,Camelback Hospital,PARADISE VALLEY,AZ,-112.007645,33.511982
267,Comstock Childrens Hospital,TUCSON,AZ,-110.955925,32.240356
268,Flagstaff Community Hospital,FLAGSTAFF,AZ,-111.645996,35.2089
269,Humana Phoenix Hospital,PHOENIX,AZ,-112.03598,33.479481
270,Mammoth Copper Corporation Hospital,SAN MANUEL,AZ,-110.628975,32.612293
271,Miami-Inspiration Hospital,CLAYPOOL,AZ,-110.826225,33.405613
272,North Mountain Hospital,PHOENIX,AZ,-112.071259,33.580044
273,Phoenix Community Hospital,PHOENIX,AZ,-112.099037,33.5331
274,Pinal General Hospital,CACTUS FOREST,AZ,-111.393456,33.02673
275,Saint Josephs Hospital,PHOENIX,AZ,-112.07959,33.481152
276,San Manuel Copper Hospital,SAN MANUEL,AZ,-110.627869,32.610634
277,Tempe Saint Lukes Hospital,GUADALUPE,AZ,-111.940704,33.411987
278,University of Arizona Hospital and Medical Center,AVRA VALLEY,AZ,-110.962868,32.240906
279,Yavapai Community Hospital,PRESCOTT,AZ,-112.481285,34.560024
280,Alameda Hospital,OAKLAND,CA,-122.253586,37.762989
281,Alondra Crest Hospital,DOWNEY,CA,-118.13784,33.888905
282,Anaheim General Hospital,BUENA PARK,CA,-118.007004,33.815845
283,Arequipa Sanatorium,FAIRFAX,CA,-122.611649,38.001034
284,Avenal District Hospital,AVENAL,CA,-120.134026,36.013565
285,Barton Memorial Hospital,STATELINE,NV,-119.997688,38.911579
286,Belmont Heights Convalescent Hospital,LONG BEACH,CA,-118.147842,33.77224
287,Booth Memorial Hospital,OAKLAND,CA,-122.221634,37.793819
288,Brookside Hospital,BAYVIEW-MONTALVIN,CA,-122.336365,37.953255
289,Buena Park Doctors Hospital,BUENA PARK,CA,-117.997833,33.876686
290,California Medical Facility,VACAVILLE,CA,-121.978012,38.328804
291,Cedars of Lebanon Hospital,DOWNTOWN LOS ANGELES,CA,-118.294235,34.09584
292,Central Memorial Hospital,MONTCLAIR,CA,-117.694214,34.079182
293,Childrens Hospital,SAN FRANCISCO,CA,-122.455803,37.786598
294,Chowchilla Convalescent Hospital,CHOWCHILLA,CA,-120.272675,37.122444
295,City of Hope National Medical Center,AZUSA,CA,-117.970337,34.129448
296,Coastal Communities Hospital,COSTA MESA,CA,-117.884506,33.71085
297,Community Hospital of Huntington Park,EAST LOS ANGELES,CA,-118.223969,33.989456
298,Cordilleras Mental Health Center,ATHERTON,CA,-122.286636,37.473827
299,Cowell Health Center,LOS ALTOS HILLS,CA,-122.164139,37.422157
300,Daniel Freeman Memorial Hospital,CULVER CITY,CA,-118.345078,33.966686
301,Delta Memorial Hospital,ANTIOCH,CA,-121.802734,37.982143
302,Doctors Hospital,BAYVIEW-MONTALVIN,CA,-122.301086,37.996864
303,Downey Community Hospital,DOWNEY,CA,-118.130898,33.934185
304,Eisenhower Medical Center,PALM DESERT,CA,-116.406677,33.762238
305,Elmwood Rehabilitation Center,MILPITAS,CA,-121.908569,37.41716
306,Enloe Hospital,CHICO,CA,-121.849419,39.742382
307,Feather River Hospital,PARADISE,CA,-121.571083,39.756824
308,Fountain Valley Regional Hospital and Medical Center,COSTA MESA,CA,-117.934502,33.714741
309,General Hospital,BAYVIEW,CA,-124.140343,40.788181
310,Glenn Helen Infirmary (historical),ADELANTO,CA,-117.40921,34.211117
311,Granada Hills Community Hospital,CHATSWORTH,CA,-118.503693,34.259724
312,Happyland Sanitarium,VALLEY CENTER,CA,-116.98642,33.253643
313,Hemet Valley Medical Center,EAST HEMET,CA,-116.960854,33.749741
314,Highland General Hospital,AUBURN,CA,-121.062164,38.897678
315,Hillside Hospital (historical),PETALUMA,CA,-122.642769,38.236305
316,Holy Cross Medical Center,SAN FERNANDO,CA,-118.458977,34.28056
317,Imperial County Hospital,EL CENTRO,CA,-115.561111,32.746998
318,Jerry L Pettis Memorial Veterans Medical Center,COLTON,CA,-117.250046,34.050297
319,Kaiser Foundation Hospital,DOWNEY,CA,-118.132568,33.902794
320,Kaiser Foundation Hospital-Woodland Hills,WOODLAND HILLS,CA,-118.588974,34.172783
321,Kaiser Medical Center,ANTIOCH,CA,-121.842461,38.00436
322,Kaiser Permanente Medical Center,ALAMO,CA,-122.058853,37.891315
323,Kaiser-Permanente Medical Center,FREMONT,CA,-121.976631,37.552155
324,King-Drew Medical Center,COMPTON,CA,-118.243126,33.922794
325,La Mesa Sanitarium,CASA DE ORO-MOUNT HELIX,CA,-117.003082,32.751442
326,Lakewood Regional Medical Center,COMPTON,CA,-118.149231,33.860016
327,Laurel Heights Convalescent Hospital,SAN FRANCISCO,CA,-122.439972,37.788258
328,Little Company of Mary Hospital,HERMOSA BEACH,CA,-118.357018,33.838345
329,Loma Linda University Medical Center,COLTON,CA,-117.264206,34.049736
330,Los Angeles Community Hospital,EAST LOS ANGELES,CA,-118.18647,34.01918
331,Los Medanos Community Hospital,COLLINSVILLE,CA,-121.870239,38.007141
332,Madera County Hospital,MADERA,CA,-120.03627,36.955227
333,Marin General Hospital,CORTE MADERA,CA,-122.535263,37.947144
334,Maryknoll Hospital,AZUSA,CA,-117.989227,34.156948
335,Mendocino County Hospital,CALPELLA,CA,-123.215004,39.158783
336,Mercy Hospital,RALEY FIELD,CA,-121.45163,38.569904
337,Merritt Hospital,BERKELEY,CA,-122.263023,37.821598
338,Mills Memorial Hospital,BELMONT,CA,-122.326645,37.564655
339,Modesto State Hospital,MODESTO,CA,-121.039375,37.661873
340,Moreno Valley Medical Center,MARCH AFB,CA,-117.188087,33.898628
341,Mount Sinai Hospital,ALHAMBRA,CA,-118.181465,34.04668
342,Needles-Desert Communities Hospital,NEEDLES,AZ,-114.61747,34.833065
343,North Perris Medical Center,PERRIS,CA,-117.225586,33.812519
344,Oak Crest Sanitarium,LARKFIELD-WIKIUP,CA,-122.707489,38.466854
345,Old San Antonio Hospital,MONTCLAIR,CA,-117.662552,34.099182
346,Pacific Coast Hospital,SAN FRANCISCO,CA,-122.437195,37.781868
347,Palm Drive Hospital,GRATON,CA,-122.819717,38.397694
348,Panorama Community Hospital,SAN FERNANDO,CA,-118.457024,34.220284
349,Permanente Foundation Hospital,VALLEJO,CA,-122.248306,38.126308
350,Placerville Sanatorium (historical),DIAMOND SPRINGS,CA,-120.803543,38.729076
351,Presbyterian Intercommunity Hospital,MONTEBELLO,CA,-118.048683,33.969181
352,Ralph K Davies Medical Center,SAN FRANCISCO,CA,-122.43441,37.768539
353,Rideout Memorial Hospital,LINDA,CA,-121.594406,39.138222
354,Riverview Hospital,FOUNTAIN VALLEY,CA,-117.902,33.762234
355,Sacramento Medical Center,RALEY FIELD,CA,-121.458565,38.556293
356,Saint Catherine Hospital on Half Moon Bay,EL GRANADA,CA,-122.507484,37.527439
357,Saint Francis Medical Center,COMPTON,CA,-118.203407,33.930016
358,Saint Josephs Hospital,SAN FRANCISCO,CA,-122.439972,37.767433
359,Saint Louise Health Center,MORGAN HILL,CA,-121.64827,37.152725
360,Saint Rose Hospital,ASHLAND,CA,-122.089134,37.632153
361,San Bernardino County Medical Center,HIGHLAND,CA,-117.269211,34.12862
362,San Francisco Surgicenter,SAN FRANCISCO,CA,-122.439972,37.784927
363,San Joaquin County Health Center,AUGUST,CA,-121.268837,37.950485
364,San Rafael General Hospital,CORTE MADERA,CA,-122.524971,37.974365
365,Santa Clara Valley Medical Center,CAMBRIAN PARK,CA,-121.933289,37.314663
366,Santa Rita Rehabilitation Center Annex,DUBLIN,CA,-121.848007,37.696873
367,Scott Valley Rural Health Center,ETNA,CA,-122.895584,41.456802
368,Seneca District Hospital,BALD EAGLE MOUNTAI,CA,-121.234688,40.305714
369,Shriners Hospital,DOWNTOWN LOS ANGELES,CA,-118.285912,34.066952
370,Sierra Meadows Emergi-Care,OAKHURST,CA,-119.660156,37.335773
371,Siskiyou General Hospital,YREKA,CA,-122.638077,41.724583
372,South Valley Medical Center,GILROY,CA,-121.605225,37.073277
373,Stadium Hospital,TULARE,CA,-119.338448,36.221062
374,Surburban Medical Center,COMPTON,CA,-118.162292,33.884457
375,Torrance Memorial Medical Center,HERMOSA BEACH,CA,-118.344238,33.811684
376,Tulare County Health Clinic,TULARE,CA,-119.342613,36.195511
377,Ukiah General Hospital,TALMAGE,CA,-123.211945,39.146004
378,Unity Hospital,SAN FRANCISCO,CA,-122.438866,37.784649
379,Vaca Valley Hospital,VACAVILLE,CA,-121.951637,38.355743
380,Valley Convalescent Hospital,ALHAMBRA,CA,-118.149521,34.077511
381,Valley West Convalescent Hospital,WILLIAMS,CA,-122.156914,39.152954
